21ur-10246,57,female (score: 7)
21ur-10247,6,male (score: -5)
21ur-10248,27,not enriched (score: 0)
21ur-10249,76,not enriched (score: -2)
21ur-1025,260,male (score: -10)
21ur-10250,77,male (score: -13)
21ur-10251,n.d.,male (score: -9)
21ur-10252,20,female (score: 7)
21ur-10253,n.d.,male (score: -9)
21ur-10254,9,female (score: 10)
21ur-10255,1,male (score: -7)
21ur-10256,0,female (score: 9)
21ur-10257,1,not enriched (score: 0)
21ur-10258,3,male (score: -5)
21ur-10259,8,male (score: -5)
21ur-1026,87,male (score: -11)
21ur-10260,2,not enriched (score: -1)
21ur-10261,21,female (score: 9)
21ur-10262,4,male (score: -3)
21ur-10263,1,female (score: 3)
21ur-10264,13,not enriched (score: 0)
21ur-10265,11,male (score: -7)
21ur-10266,8,n.d.
21ur-10267,1,female (score: 4)
21ur-10268,5,not enriched (score: -1)
21ur-10269,0,n.d.
21ur-1027,182,male (score: -17)
21ur-10270,1,male (score: -3)
21ur-10271,12,male (score: -9)
21ur-10272,n.d.,not enriched (score: -1)
21ur-10273,n.d.,female (score: 6)
21ur-10274,1,not enriched (score: 0)
21ur-10275,1,not enriched (score: 0)
21ur-10276,137,female (score: 3)
21ur-10277,8,not enriched (score: 0)
21ur-10278,12,n.d.
21ur-10279,0,male (score: -6)
21ur-1028,9,male (score: -3)
21ur-10280,0,male (score: -9)
21ur-10281,1,female (score: 4)
21ur-10282,19,not enriched (score: -2)
21ur-10283,0,male (score: -7)
21ur-10284,0,male (score: -4)
21ur-10285,12,male (score: -7)
21ur-10286,8,female (score: 6)
21ur-10287,6,male (score: -9)
21ur-10288,n.d.,male (score: -3)
21ur-10289,94,male (score: -12)
21ur-1029,5,male (score: -6)
21ur-10290,2,male (score: -3)
21ur-10291,1,male (score: -3)
21ur-10292,26,male (score: -17)
21ur-10293,11,male (score: -4)
21ur-10294,n.d.,female (score: 9)
21ur-10295,2,not enriched (score: -1)
21ur-10296,n.d.,male (score: -4)
21ur-10297,5,not enriched (score: 0)
21ur-10298,1,male (score: -7)
21ur-10299,7,not enriched (score: 0)
21ur-103,70,not enriched (score: -2)
21ur-1030,21,female (score: 6)
21ur-10300,3,male (score: -8)
21ur-10301,8,not enriched (score: 0)
21ur-10302,44,male (score: -9)
21ur-10303,1,not enriched (score: 0)
21ur-10304,14,not enriched (score: -2)
21ur-10305,3,male (score: -5)
21ur-10306,1,male (score: -5)
21ur-10307,38,male (score: -10)
21ur-10308,22,female (score: 6)
21ur-10309,0,male (score: -4)
21ur-1031,5,male (score: -6)
21ur-10310,4,not enriched (score: -2)
21ur-10311,15,male (score: -4)
21ur-10312,30,female (score: 8)
21ur-10313,33,male (score: -14)
21ur-10314,n.d.,male (score: -7)
21ur-10315,n.d.,male (score: -8)
21ur-10316,5,male (score: -4)
21ur-10317,13,male (score: -9)
21ur-10318,15,not enriched (score: 0)
21ur-10319,18,not enriched (score: -2)
21ur-1032,40,male (score: -16)
21ur-10320,4,male (score: -14)
21ur-10321,3,male (score: -4)
21ur-10322,1,male (score: -5)
21ur-10323,n.d.,female (score: 9)
21ur-10324,51,male (score: -5)
21ur-10325,1,male (score: -6)
21ur-10326,2,not enriched (score: -2)
21ur-10327,n.d.,female (score: 5)
21ur-10328,1,not enriched (score: 2)
21ur-10329,1,male (score: -4)
21ur-1033,1,not enriched (score: -2)
21ur-10331,0,male (score: -5)
21ur-10332,40,male (score: -6)
21ur-10333,11,female (score: 8)
21ur-10334,1,not enriched (score: -1)
21ur-10335,1,male (score: -11)
21ur-10336,0,male (score: -3)
21ur-10338,5,male (score: -12)
21ur-10339,6,female (score: 4)
21ur-1034,174,male (score: -17)
21ur-10340,2,not enriched (score: -1)
21ur-10342,2,male (score: -9)
21ur-10343,2,male (score: -9)
21ur-10344,7,n.d.
21ur-10345,10,n.d.
21ur-10346,3,male (score: -7)
21ur-10347,3,male (score: -9)
21ur-10348,18,not enriched (score: -1)
21ur-10349,6,male (score: -9)
21ur-1035,359,male (score: -10)
21ur-10350,n.d.,male (score: -7)
21ur-10351,5,not enriched (score: -2)
21ur-10352,2,n.d.
21ur-10353,9,not enriched (score: 0)
21ur-10354,2,female (score: 5)
21ur-10355,3,female (score: 6)
21ur-10356,4,female (score: 7)
21ur-10357,7,not enriched (score: -2)
21ur-10358,2,male (score: -5)
21ur-10359,0,male (score: -6)
21ur-1036,45,male (score: -8)
21ur-10360,49,male (score: -15)
21ur-10361,0,female (score: 5)
21ur-10362,0,male (score: -6)
21ur-10363,n.d.,not enriched (score: 0)
21ur-10364,2,not enriched (score: -2)
21ur-10365,3,not enriched (score: 2)
21ur-10366,14,male (score: -11)
21ur-10367,0,not enriched (score: -2)
21ur-10368,1,not enriched (score: -1)
21ur-10369,14,male (score: -9)
21ur-1037,0,not enriched (score: -2)
21ur-10370,1,not enriched (score: -1)
21ur-10371,61,male (score: -9)
21ur-10372,17,not enriched (score: 0)
21ur-10373,6,female (score: 8)
21ur-10374,2,not enriched (score: 0)
21ur-10375,11,male (score: -3)
21ur-10376,3,male (score: -6)
21ur-10377,8,male (score: -3)
21ur-10378,10,not enriched (score: -2)
21ur-10379,1,female (score: 9)
21ur-1038,25,male (score: -7)
21ur-10380,6,male (score: -11)
21ur-10381,0,male (score: -4)
21ur-10382,11,male (score: -12)
21ur-10383,32,male (score: -9)
21ur-10384,27,male (score: -4)
21ur-10385,29,male (score: -10)
21ur-10386,4,male (score: -9)
21ur-10387,1,male (score: -6)
21ur-10388,3,female (score: 9)
21ur-10389,6,male (score: -10)
21ur-1039,134,male (score: -8)
21ur-10390,44,male (score: -7)
21ur-10391,0,not enriched (score: -2)
21ur-10392,n.d.,female (score: 6)
21ur-10393,3,female (score: 4)
21ur-10394,1,n.d.
21ur-10395,n.d.,male (score: -3)
21ur-10396,6,n.d.
21ur-10397,5,male (score: -8)
21ur-10398,98,female (score: 5)
21ur-10399,n.d.,male (score: -3)
21ur-104,140,male (score: -8)
21ur-1040,n.d.,female (score: 5)
21ur-10400,2,not enriched (score: -2)
21ur-10401,12,female (score: 3)
21ur-10402,2,male (score: -4)
21ur-10403,3,not enriched (score: -1)
21ur-10404,76,n.d.
21ur-10405,n.d.,female (score: 4)
21ur-10406,1,n.d.
21ur-10407,2,male (score: -11)
21ur-10408,13,male (score: -13)
21ur-10409,19,male (score: -6)
21ur-1041,77,male (score: -13)
21ur-10410,2,female (score: 4)
21ur-10411,1,male (score: -4)
21ur-10412,3,male (score: -5)
21ur-10414,92,female (score: 7)
21ur-10415,4,male (score: -7)
21ur-10416,76,male (score: -9)
21ur-10417,5,not enriched (score: -2)
21ur-10418,26,male (score: -12)
21ur-10419,4,not enriched (score: -1)
21ur-1042,73,male (score: -17)
21ur-10420,9,not enriched (score: -2)
21ur-10421,4,male (score: -4)
21ur-10422,4,not enriched (score: -2)
21ur-10423,0,female (score: 8)
21ur-10424,1,male (score: -4)
21ur-10425,4,male (score: -7)
21ur-10426,1,male (score: -9)
21ur-10427,17,not enriched (score: -1)
21ur-10428,8,n.d.
21ur-10429,9,n.d.
21ur-1043,49,male (score: -7)
21ur-10430,0,not enriched (score: -1)
21ur-10431,7,female (score: 9)
21ur-10432,8,female (score: 5)
21ur-10433,58,male (score: -11)
21ur-10434,9,female (score: 9)
21ur-10435,7,male (score: -9)
21ur-10436,3,n.d.
21ur-10437,13,male (score: -7)
21ur-10438,4,male (score: -9)
21ur-10439,215,male (score: -5)
21ur-1044,12,male (score: -9)
21ur-10440,76,female (score: 9)
21ur-10441,62,male (score: -12)
21ur-10442,91,female (score: 3)
21ur-10443,7,female (score: 5)
21ur-10444,12,male (score: -10)
21ur-10445,1,not enriched (score: -2)
21ur-10446,10,male (score: -4)
21ur-10447,1,male (score: -3)
21ur-10448,n.d.,male (score: -3)
21ur-10449,11,female (score: 13)
21ur-1045,n.d.,not enriched (score: 0)
21ur-10450,1,n.d.
21ur-10451,2,male (score: -7)
21ur-10452,0,not enriched (score: -1)
21ur-10453,0,not enriched (score: -1)
21ur-10454,1,not enriched (score: -1)
21ur-10455,9,male (score: -12)
21ur-10456,n.d.,male (score: -6)
21ur-10457,4,female (score: 9)
21ur-10458,4,male (score: -11)
21ur-10459,1,n.d.
21ur-1046,91,male (score: -4)
21ur-10460,n.d.,male (score: -4)
21ur-10461,5,not enriched (score: 0)
21ur-10462,80,n.d.
21ur-10463,10,male (score: -7)
21ur-10464,1,male (score: -5)
21ur-10465,2,female (score: 8)
21ur-10466,9,male (score: -3)
21ur-10467,23,male (score: -8)
21ur-10468,2,not enriched (score: 0)
21ur-10469,2,male (score: -8)
21ur-1047,93,male (score: -4)
21ur-10470,3,male (score: -4)
21ur-10471,4,n.d.
21ur-10472,75,n.d.
21ur-10473,83,female (score: 7)
21ur-10474,0,not enriched (score: -2)
21ur-10475,38,not enriched (score: 2)
21ur-10476,27,female (score: 4)
21ur-10477,9,male (score: -8)
21ur-10478,19,male (score: -9)
21ur-10479,4,male (score: -11)
21ur-1048,0,not enriched (score: -2)
21ur-10480,12,male (score: -10)
21ur-10481,3,not enriched (score: 0)
21ur-10482,18,male (score: -8)
21ur-10483,20,male (score: -3)
21ur-10484,8,male (score: -9)
21ur-10485,n.d.,not enriched (score: 0)
21ur-10486,1,not enriched (score: -2)
21ur-10487,21,male (score: -4)
21ur-10488,17,male (score: -9)
21ur-10489,4,not enriched (score: -1)
21ur-1049,158,not enriched (score: 1)
21ur-10490,2,male (score: -3)
21ur-10491,n.d.,not enriched (score: -1)
21ur-10492,n.d.,not enriched (score: 1)
21ur-10494,n.d.,male (score: -3)
21ur-10495,n.d.,not enriched (score: -1)
21ur-10496,n.d.,not enriched (score: 0)
21ur-10497,n.d.,female (score: 5)
21ur-10499,n.d.,not enriched (score: -1)
21ur-105,331,male (score: -9)
21ur-1050,435,not enriched (score: -2)
21ur-10500,43,male (score: -11)
21ur-10502,12,n.d.
21ur-10503,6,n.d.
21ur-10504,23,male (score: -3)
21ur-10505,10,male (score: -7)
21ur-10506,1,male (score: -3)
21ur-10507,23,male (score: -4)
21ur-10508,8,male (score: -12)
21ur-10509,18,male (score: -6)
21ur-1051,406,male (score: -20)
21ur-10510,12,not enriched (score: 0)
21ur-10511,10,female (score: 4)
21ur-10512,2,female (score: 5)
21ur-10513,12,female (score: 7)
21ur-10514,1,not enriched (score: 0)
21ur-10515,2,male (score: -3)
21ur-10516,8,male (score: -8)
21ur-10517,1,male (score: -3)
21ur-10518,29,female (score: 3)
21ur-10519,1,male (score: -4)
21ur-1052,39,male (score: -9)
21ur-10520,n.d.,male (score: -3)
21ur-10521,24,not enriched (score: -2)
21ur-10522,6,male (score: -11)
21ur-10523,6,female (score: 3)
21ur-10524,11,male (score: -5)
21ur-10525,2,male (score: -4)
21ur-10526,1,n.d.
21ur-10527,13,n.d.
21ur-10528,39,male (score: -8)
